iter	Logloss
0	0.6587242945
1	0.6280478911
2	0.5993045697
3	0.5709727817
4	0.5446027536
5	0.5200579998
6	0.4982875139
7	0.4775827054
8	0.4565980328
9	0.438123184
10	0.4200020262
11	0.4035844663
12	0.3891941421
13	0.3751370994
14	0.3625608343
15	0.3506322056
16	0.340004014
17	0.32994224
18	0.3201487103
19	0.3118010318
20	0.3036727145
21	0.2952329918
22	0.2877289172
23	0.2807435699
24	0.273752375
25	0.2676719854
26	0.2635703264
27	0.2579738638
28	0.2528762612
29	0.2477998295
30	0.2433817567
31	0.2389231737
32	0.235273701
33	0.2314693121
34	0.2288898577
35	0.2266550559
36	0.2234063357
37	0.2202099778
38	0.2172315112
39	0.2147957255
40	0.2123635748
41	0.2098671366
42	0.207918674
43	0.2058717978
44	0.2038155568
45	0.2018526071
46	0.1999152377
47	0.198131077
48	0.1964851065
49	0.1951731585
50	0.1942122015
51	0.1927465382
52	0.1913547159
53	0.1902925829
54	0.1888805372
55	0.1875335344
56	0.1864632937
57	0.1854239477
58	0.1843641803
59	0.1833716637
60	0.1824116358
61	0.1813207758
62	0.1806323366
63	0.1797730007
64	0.1790830758
65	0.1784697566
66	0.1778527656
67	0.1771625473
68	0.1766885923
69	0.1759484048
70	0.1754689738
71	0.1748987326
72	0.1742976012
73	0.1737785155
74	0.1731170026
75	0.1725377898
76	0.1719982552
77	0.1716128855
78	0.1711894716
79	0.17075121
80	0.1701691052
81	0.1697206415
82	0.169122695
83	0.1688774512
84	0.1683815268
85	0.1680553459
86	0.1676039812
87	0.167388252
88	0.1667939694
89	0.166478689
90	0.1662183616
91	0.1659526891
92	0.1655611705
93	0.1651784684
94	0.1647438277
95	0.1644263851
96	0.1640895137
97	0.1638067688
98	0.1635504431
99	0.1631600503
100	0.1629693136
101	0.1627254207
102	0.1624629898
103	0.1621366481
104	0.1618002677
105	0.1614669218
106	0.1612077208
107	0.1609866157
108	0.1606932544
109	0.1604063103
110	0.1601933089
111	0.1599648709
112	0.1597692863
113	0.1595304767
114	0.1593556532
115	0.1590775045
116	0.1588950042
117	0.1586686762
118	0.1584615313
119	0.1582849085
120	0.1581113233
121	0.1579652399
122	0.157703437
123	0.1574501924
124	0.1572581423
125	0.1570692062
126	0.1569267236
127	0.1567187706
128	0.1565516263
129	0.1563515005
130	0.1561136236
131	0.1560223117
132	0.1558558248
133	0.155782473
134	0.1555822756
135	0.1554400552
136	0.1552785948
137	0.1551488465
138	0.1549348768
139	0.1547078738
140	0.1546246369
141	0.1544963356
142	0.1541776677
143	0.1541125739
144	0.1540185674
145	0.1538807756
146	0.1537962222
147	0.1536870066
148	0.153529883
149	0.1533898428
150	0.1532387099
151	0.1531272687
152	0.1530366283
153	0.1529030897
154	0.1528231817
155	0.1526629291
156	0.1525583053
157	0.152455652
158	0.1522536324
159	0.1521161078
160	0.1520276663
161	0.1518270676
162	0.1516886595
163	0.151514465
164	0.1514004216
165	0.151302636
166	0.1511808761
167	0.151118216
168	0.1510251173
169	0.1509428009
170	0.1507456134
171	0.1506803436
172	0.1505686769
173	0.1504857468
174	0.1503778129
175	0.1502535425
176	0.1501955353
177	0.1501147958
178	0.1499831195
179	0.1499571489
180	0.1498540528
181	0.1498159011
182	0.1497444045
183	0.1495277369
184	0.1494553595
185	0.1494041375
186	0.1493258604
187	0.1492346252
188	0.1491287584
189	0.1490354526
190	0.1489058497
191	0.1488444618
192	0.1487373864
193	0.1485107477
194	0.1484434164
195	0.1483789007
196	0.1482973234
197	0.1482174136
198	0.1480747813
199	0.1479921844
200	0.1478975261
201	0.147827716
202	0.1477603415
203	0.1475887803
204	0.1475063652
205	0.1474479717
206	0.1473714392
207	0.1472662408
208	0.1471640558
209	0.1471032103
210	0.1470155548
211	0.1469389193
212	0.1468824149
213	0.1468329269
214	0.1467584754
215	0.1467378345
216	0.1465528632
217	0.1464676556
218	0.1463745996
219	0.146336776
220	0.1462986791
221	0.1462312761
222	0.1461516252
223	0.1461062559
224	0.1460679044
225	0.1460090643
226	0.1458799554
227	0.1458153522
228	0.1457774627
229	0.1457218049
230	0.1456809187
231	0.1456116144
232	0.1455409352
233	0.1455222455
234	0.1454558771
235	0.1453469368
236	0.1452602552
237	0.1451474618
238	0.1450830365
239	0.1450714881
240	0.1450170833
241	0.1449522648
242	0.1448947805
243	0.144838612
244	0.144782995
245	0.1447649269
246	0.1447553558
247	0.1447139438
248	0.1446742052
249	0.1446203221
250	0.1446084498
251	0.1445815552
252	0.1444693815
253	0.1444452843
254	0.1444029898
255	0.1443325407
256	0.1442099169
257	0.1441253013
258	0.144067094
259	0.1439467564
260	0.1438685442
261	0.1437735697
262	0.1437268965
263	0.1436769384
264	0.143624122
265	0.1436061601
266	0.143570009
267	0.1435618626
268	0.1435224319
269	0.143429385
270	0.1433697972
271	0.1433245921
272	0.1432819808
273	0.1431966839
274	0.1431727371
275	0.1431180737
276	0.143001594
277	0.1428908415
278	0.1428761104
279	0.142755426
280	0.1427130883
281	0.1426864498
282	0.1426245557
283	0.142603183
284	0.1425851798
285	0.1425255842
286	0.1424380841
287	0.1424288451
288	0.1423952725
289	0.1423611529
290	0.1423065258
291	0.142203288
292	0.1421299274
293	0.1420594422
294	0.1420150953
295	0.1419748788
296	0.1419355384
297	0.1419006667
298	0.1417826713
299	0.1416348515
300	0.1415817648
301	0.1415311457
302	0.1414913329
303	0.1414621289
304	0.1414208236
305	0.14138473
306	0.1413339847
307	0.1412779016
308	0.1412232317
309	0.1411356197
310	0.1410817843
311	0.1410693356
312	0.1409970034
313	0.1409656023
314	0.1408590357
315	0.1408307091
316	0.1408159298
317	0.1408042583
318	0.1407359267
319	0.1407013961
320	0.1406542965
321	0.1406293363
322	0.1405769037
323	0.1405711621
324	0.1404823422
325	0.1404681065
326	0.1404097459
327	0.1403764472
328	0.1402920579
329	0.1402429818
330	0.1401896202
331	0.1401550467
332	0.1401278965
333	0.1400923546
334	0.1400537331
335	0.1399953911
336	0.1399824775
337	0.1399507225
338	0.1399310877
339	0.1399036914
340	0.1398782938
341	0.1398622165
342	0.1398193771
343	0.1397525937
344	0.139744423
345	0.1397098397
346	0.1396751069
347	0.1396545609
348	0.1395696084
349	0.1395356006
350	0.1394823913
351	0.1393967071
352	0.1393753976
353	0.1393333581
354	0.1392890791
355	0.1391909651
356	0.1391661154
357	0.1391366611
358	0.1390414814
359	0.1389419757
360	0.138912268
361	0.1388866732
362	0.1388440904
363	0.1388121028
364	0.1387212886
365	0.1386941696
366	0.1386704834
367	0.1386161229
368	0.1385817361
369	0.138551871
370	0.1384900332
371	0.1384597435
372	0.1384208079
373	0.13841276
374	0.1383607852
375	0.1383437848
376	0.1382867587
377	0.1381958552
378	0.1381771099
379	0.1381144445
380	0.1380828989
381	0.1380492699
382	0.1380282224
383	0.1379654074
384	0.1379430592
385	0.1379321055
386	0.1378996977
387	0.1378310155
388	0.1378072465
389	0.1377911551
390	0.1377643824
391	0.13774383
392	0.1377003823
393	0.1376652484
394	0.1376501163
395	0.1375952202
396	0.13757006
397	0.1375565468
398	0.1375214525
399	0.1375028691
400	0.1374555451
401	0.1373855482
402	0.1373553687
403	0.1373244335
404	0.1372782798
405	0.1372687274
406	0.1372117172
407	0.1371879389
408	0.1371816194
409	0.1371348364
410	0.1371174794
411	0.1371151205
412	0.1370829479
413	0.1370626644
414	0.1370282671
415	0.1370127465
416	0.136990886
417	0.1369660643
418	0.1369422993
419	0.1369191065
420	0.1368101438
421	0.1367822909
422	0.1367727841
423	0.1367357791
424	0.1367115582
425	0.1366786293
426	0.1366613105
427	0.1366396132
428	0.1365922238
429	0.1365095361
430	0.1364798636
431	0.1364511333
432	0.1364490647
433	0.1364094137
434	0.1363342034
435	0.1363117354
436	0.1362859108
437	0.1362550755
438	0.1362189884
439	0.1361966441
440	0.1361719871
441	0.1361444038
442	0.1361356565
443	0.1360483649
444	0.1360133363
445	0.1359628199
446	0.1359330717
447	0.1358502048
448	0.1358304228
449	0.1358194708
450	0.1358002102
451	0.1357865048
452	0.1357497755
453	0.135728415
454	0.1356766304
455	0.1356690734
456	0.1356271225
457	0.1356046674
458	0.1355477431
459	0.1354962324
460	0.1354587913
461	0.1353882199
462	0.1353327618
463	0.1353201034
464	0.1353110103
465	0.1352850424
466	0.1352184701
467	0.1351973889
468	0.1351756844
469	0.1351456365
470	0.1350716782
471	0.1350626292
472	0.1350484059
473	0.1350366778
474	0.1350195839
475	0.1350102403
476	0.1349810749
477	0.1349528942
478	0.1349322688
479	0.134927377
480	0.1349034452
481	0.1348829191
482	0.1348515105
483	0.1348293756
484	0.1347880314
485	0.1347568996
486	0.1347310852
487	0.1347165458
488	0.1346937478
489	0.1345948435
490	0.1345904431
491	0.134511478
492	0.1344843587
493	0.1344477444
494	0.1344476273
495	0.1344180961
496	0.1342966839
497	0.1342799876
498	0.1342589211
499	0.1342427298
500	0.1341634444
501	0.1341427882
