iter	Passed	Remaining
0	199	199016
1	388	193993
2	587	195356
3	794	197801
4	998	198680
5	1214	201191
6	1463	207587
7	1677	207958
8	1888	207969
9	2016	199632
10	2215	199221
11	2428	199921
12	2648	201083
13	2872	202273
14	3014	197934
15	3237	199077
16	3450	199501
17	3675	200504
18	3884	200579
19	4138	202783
20	4412	205718
21	4671	207660
22	4870	206879
23	5088	206950
24	5308	207041
25	5571	208723
26	5755	207426
27	5951	206595
28	6189	207242
29	6549	211777
30	6759	211295
31	6965	210693
32	7227	211793
33	7568	215024
34	7773	214328
35	7930	212351
36	8142	211935
37	8381	212191
38	8614	212263
39	8836	212070
40	9036	211360
41	9198	209824
42	9411	209452
43	9663	209964
44	9906	210230
45	10109	209666
46	10366	210200
47	10520	208661
48	10682	207329
49	10905	207207
50	11187	208174
51	11358	207072
52	11571	206762
53	11791	206561
54	12030	206698
55	12287	207133
56	12662	209491
57	12841	208565
58	13016	207605
59	13185	206572
60	13386	206068
61	13603	205804
62	13888	206565
63	14151	206963
64	14340	206280
65	14772	209048
66	15042	209469
67	15207	208436
68	15404	207854
69	15610	207390
70	15860	207532
71	16114	207704
72	16280	206735
73	16456	205922
74	16659	205468
75	16848	204846
76	17025	204084
77	17200	203318
78	17401	202872
79	17613	202550
80	17837	202383
81	18065	202244
82	18261	201761
83	18564	202440
84	18747	201814
85	18930	201188
86	19133	200792
87	19351	200549
88	19552	200138
89	19755	199746
90	19962	199403
91	20121	198591
92	20312	198100
93	20542	197991
94	20764	197807
95	20933	197125
96	21135	196757
97	21306	196105
98	21484	195529
99	21672	195054
100	21870	194669
101	22099	194558
102	22317	194359
103	22510	193935
104	22707	193556
105	22905	193184
106	23218	193774
107	23446	193654
108	23737	194036
109	24082	194848
110	24320	194783
111	24564	194762
112	24822	194845
113	25079	194919
114	25348	195075
115	25546	194684
116	25746	194307
117	25941	193901
118	26149	193596
119	26299	192862
120	26521	192667
121	26833	193113
122	27034	192759
123	27237	192418
124	27460	192224
125	27670	191938
126	27948	192118
127	28151	191783
128	28447	192077
129	28679	191931
130	28874	191543
131	29071	191170
132	29270	190807
133	29537	190888
134	29801	190950
135	30058	190956
136	30382	191388
137	30681	191651
138	30901	191411
139	31112	191118
140	31319	190807
141	31550	190637
142	31855	190912
143	31949	189922
144	32241	190111
145	32451	189816
146	32655	189490
147	32908	189447
148	33122	189177
149	33322	188824
150	33541	188588
151	33746	188271
152	33893	187630
153	34186	187803
154	34395	187512
155	34690	187682
156	34911	187456
157	35200	187589
158	35531	187939
159	35728	187575
160	35946	187323
161	36251	187521
162	36475	187301
163	36712	187143
164	36965	187066
165	37164	186719
166	37389	186498
167	37508	185756
168	37817	185952
169	38035	185701
170	38311	185731
171	38535	185509
172	38806	185510
173	39007	185172
174	39203	184818
175	39492	184899
176	39589	184079
177	39804	183815
178	40051	183699
179	40212	183189
180	40451	183035
181	40555	182278
182	40839	182329
183	41045	182029
184	41165	181349
185	41390	181139
186	41688	181245
187	41982	181327
188	42225	181188
189	42442	180938
190	42643	180619
191	42839	180284
192	43039	179962
193	43241	179652
194	43439	179327
195	43659	179091
196	43901	178946
197	44105	178649
198	44397	178703
199	44544	178177
200	44747	177878
201	44984	177709
202	45247	177647
203	45456	177369
204	45674	177129
205	45982	177232
206	46259	177217
207	46476	176969
208	46757	176961
209	47084	177128
210	47359	177093
211	47649	177112
212	47851	176805
213	48054	176498
214	48347	176523
215	48436	175808
216	48643	175518
217	48904	175426
218	49108	175130
219	49187	174390
220	49475	174396
221	49705	174191
222	49907	173894
223	50178	173832
224	50476	173863
225	50686	173590
226	50888	173289
227	51094	173005
228	51381	172991
229	51616	172803
230	51821	172513
231	52103	172481
232	52309	172196
233	52412	171573
234	52696	171542
235	52923	171329
236	53247	171426
237	53469	171190
238	53772	171218
239	53892	170659
240	54158	170567
241	54401	170396
242	54620	170155
243	54869	170004
244	55125	169877
245	55292	169474
246	55429	168981
247	55662	168782
248	55917	168651
249	56135	168406
250	56259	167881
251	56379	167348
252	56683	167363
253	56873	167036
254	57114	166864
255	57434	166919
256	57639	166639
257	57928	166601
258	58120	166282
259	58349	166071
260	58596	165912
261	58892	165888
262	59221	165955
263	59411	165632
264	59633	165397
265	59756	164893
266	59902	164452
267	59982	163831
268	60179	163537
269	60373	163232
270	60640	163123
271	60911	163026
272	61112	162743
273	61342	162535
274	61522	162194
275	61858	162266
276	62190	162323
277	62478	162265
278	62559	161667
279	62761	161386
280	62961	161099
281	63155	160801
282	63377	160572
283	63682	160551
284	63798	160055
285	63999	159774
286	64237	159587
287	64316	159004
288	64508	158703
289	64670	158331
290	64866	158042
291	65168	158010
292	65370	157736
293	65566	157449
294	65788	157222
295	65986	156941
296	66231	156770
297	66464	156570
298	66692	156358
299	66884	156063
300	67078	155773
301	67285	155513
302	67514	155304
303	67714	155030
304	67948	154834
305	68106	154462
306	68369	154332
307	68594	154114
308	68815	153888
309	69035	153659
310	69236	153389
311	69330	152882
312	69610	152786
313	69748	152380
314	70023	152273
315	70242	152043
316	70419	151723
317	70555	151316
318	70781	151103
319	71057	150996
320	71258	150730
321	71450	150445
322	71668	150215
323	71736	149672
324	71978	149494
325	72172	149215
326	72320	148842
327	72467	148470
328	72696	148265
329	72930	148071
330	73158	147863
331	73437	147759
332	73726	147673
333	73926	147409
334	74153	147200
335	74447	147121
336	74673	146909
337	74875	146648
338	75077	146390
339	75221	146018
340	75481	145871
341	75579	145412
342	75808	145206
343	76039	145004
344	76105	144490
345	76308	144236
346	76522	144003
347	76743	143783
348	77028	143682
349	77222	143412
350	77480	143262
351	77795	143214
352	77962	142893
353	78167	142644
354	78369	142390
